t_days,r_cm,Nn_cells_per_cm3,Nt_cells_per_cm3,Ch_mols_per_liter
23.14815,0.46000,5.34962e+07,7.39349e+03,2.29953e-09
23.14815,0.46500,5.34962e+07,7.39349e+03,2.29624e-09
23.14815,0.47000,5.34963e+07,7.39349e+03,2.29267e-09
23.14815,0.47500,5.34964e+07,7.39349e+03,2.29043e-09
23.14815,0.48000,5.34965e+07,7.39349e+03,2.28790e-09
23.14815,0.48500,5.34965e+07,7.39349e+03,2.28664e-09
23.14815,0.49000,5.34965e+07,7.39349e+03,2.28510e-09
23.14815,0.49500,5.34965e+07,7.39349e+03,2.28479e-09
23.14815,0.50000,5.34965e+07,7.39349e+03,2.28419e-09
34.72222,0.00000,4.90637e+07,1.93675e+06,3.74546e-08
34.72222,0.00500,4.90645e+07,1.93670e+06,3.74256e-08
34.72222,0.01000,4.90670e+07,1.93661e+06,3.73265e-08
34.72222,0.01500,4.90712e+07,1.93646e+06,3.71692e-08
34.72222,0.02000,4.90772e+07,1.93620e+06,3.69418e-08
34.72222,0.02500,4.90848e+07,1.93578e+06,3.66562e-08
34.72222,0.03000,4.90946e+07,1.93509e+06,3.63003e-08
34.72222,0.03500,4.91064e+07,1.93396e+06,3.58860e-08
34.72222,0.04000,4.91209e+07,1.93211e+06,3.54013e-08
34.72222,0.04500,4.91384e+07,1.92911e+06,3.48581e-08
34.72222,0.05000,4.91602e+07,1.92424e+06,3.42447e-08
34.72222,0.05500,4.91874e+07,1.91643e+06,3.35729e-08
34.72222,0.06000,4.92228e+07,1.90401e+06,3.28315e-08
34.72222,0.06500,4.92696e+07,1.88463e+06,3.20329e-08
34.72222,0.07000,4.93330e+07,1.85501e+06,3.11668e-08
34.72222,0.07500,4.94187e+07,1.81085e+06,3.02470e-08
34.72222,0.08000,4.95329e+07,1.74693e+06,2.92653e-08
34.72222,0.08500,4.96778e+07,1.65680e+06,2.82384e-08
34.72222,0.09000,4.98490e+07,1.53200e+06,2.71622e-08
34.72222,0.09500,5.00323e+07,1.36326e+06,2.60584e-08
34.72222,0.10000,5.02093e+07,1.14565e+06,2.49298e-08
34.72222,0.10500,5.03641e+07,8.93066e+05,2.38064e-08
34.72222,0.11000,5.04895e+07,6.42791e+05,2.26990e-08
34.72222,0.11500,5.05859e+07,4.33765e+05,2.16392e-08
34.72222,0.12000,5.06585e+07,2.82202e+05,2.06299e-08
34.72222,0.12500,5.07128e+07,1.82027e+05,1.96890e-08
34.72222,0.13000,5.07545e+07,1.19010e+05,1.88073e-08
34.72222,0.13500,5.07871e+07,8.02446e+04,1.79940e-08
34.72222,0.14000,5.08136e+07,5.66126e+04,1.72350e-08
34.72222,0.14500,5.08357e+07,4.22550e+04,1.65366e-08
34.72222,0.15000,5.08549e+07,3.35426e+04,1.58841e-08
34.72222,0.15500,5.08717e+07,2.82580e+04,1.52837e-08
34.72222,0.16000,5.08868e+07,2.50530e+04,1.47209e-08
34.72222,0.16500,5.09005e+07,2.31093e+04,1.42023e-08
34.72222,0.17000,5.09131e+07,2.19304e+04,1.37144e-08
34.72222,0.17500,5.09246e+07,2.12155e+04,1.32643e-08
34.72222,0.18000,5.09354e+07,2.07819e+04,1.28391e-08
34.72222,0.18500,5.09453e+07,2.05190e+04,1.24464e-08
34.72222,0.19000,5.09547e+07,2.03595e+04,1.20741e-08
34.72222,0.19500,5.09634e+07,2.02627e+04,1.17298e-08
34.72222,0.20000,5.09716e+07,2.02041e+04,1.14023e-08
34.72222,0.20500,5.09792e+07,2.01685e+04,1.10993e-08
34.72222,0.21000,5.09865e+07,2.01469e+04,1.08099e-08
34.72222,0.21500,5.09932e+07,2.01338e+04,1.05422e-08
34.72222,0.22000,5.09996e+07,2.01259e+04,1.02858e-08
34.72222,0.22500,5.10056e+07,2.01211e+04,1.00485e-08
34.72222,0.23000,5.10113e+07,2.01181e+04,9.82051e-09
34.72222,0.23500,5.10166e+07,2.01164e+04,9.60964e-09
34.72222,0.24000,5.10217e+07,2.01153e+04,9.40634e-09
34.72222,0.24500,5.10264e+07,2.01146e+04,9.21846e-09
34.72222,0.25000,5.10310e+07,2.01143e+04,9.03679e-09
34.72222,0.25500,5.10352e+07,2.01140e+04,8.86907e-09
34.72222,0.26000,5.10393e+07,2.01139e+04,8.70640e-09
34.72222,0.26500,5.10430e+07,2.01138e+04,8.55643e-09
34.72222,0.27000,5.10467e+07,2.01137e+04,8.41054e-09
34.72222,0.27500,5.10501e+07,2.01137e+04,8.27626e-09
34.72222,0.28000,5.10533e+07,2.01137e+04,8.14525e-09
34.72222,0.28500,5.10564e+07,2.01137e+04,8.02490e-09
34.72222,0.29000,5.10593e+07,2.01137e+04,7.90715e-09
34.72222,0.29500,5.10620e+07,2.01137e+04,7.79922e-09
34.72222,0.30000,5.10647e+07,2.01136e+04,7.69330e-09
34.72222,0.30500,5.10671e+07,2.01136e+04,7.59649e-09
34.72222,0.31000,5.10695e+07,2.01136e+04,7.50121e-09
34.72222,0.31500,5.10717e+07,2.01136e+04,7.41438e-09
34.72222,0.32000,5.10738e+07,2.01136e+04,7.32866e-09
34.72222,0.32500,5.10758e+07,2.01136e+04,7.25083e-09
34.72222,0.33000,5.10777e+07,2.01136e+04,7.17375e-09
34.72222,0.33500,5.10795e+07,2.01136e+04,7.10405e-09
34.72222,0.34000,5.10812e+07,2.01136e+04,7.03481e-09
34.72222,0.34500,5.10828e+07,2.01136e+04,6.97249e-09
34.72222,0.35000,5.10843e+07,2.01136e+04,6.91038e-09
34.72222,0.35500,5.10857e+07,2.01136e+04,6.85477e-09
34.72222,0.36000,5.10871e+07,2.01136e+04,6.79916e-09
34.72222,0.36500,5.10884e+07,2.01136e+04,6.74968e-09
34.72222,0.37000,5.10896e+07,2.01136e+04,6.70002e-09
34.72222,0.37500,5.10907e+07,2.01136e+04,6.65616e-09
34.72222,0.38000,5.10918e+07,2.01136e+04,6.61196e-09
34.72222,0.38500,5.10928e+07,2.01136e+04,6.57326e-09
34.72222,0.39000,5.10938e+07,2.01136e+04,6.53409e-09
34.72222,0.39500,5.10947e+07,2.01136e+04,6.50015e-09
34.72222,0.40000,5.10955e+07,2.01136e+04,6.46562e-09
34.72222,0.40500,5.10963e+07,2.01136e+04,6.43608e-09
34.72222,0.41000,5.10970e+07,2.01136e+04,6.40586e-09
34.72222,0.41500,5.10977e+07,2.01136e+04,6.38039e-09
34.72222,0.42000,5.10983e+07,2.01136e+04,6.35419e-09
34.72222,0.42500,5.10989e+07,2.01136e+04,6.33252e-09
34.72222,0.43000,5.10994e+07,2.01136e+04,6.31004e-09
34.72222,0.43500,5.10999e+07,2.01136e+04,6.29192e-09
34.72222,0.44000,5.11004e+07,2.01136e+04,6.27295e-09
34.72222,0.44500,5.11007e+07,2.01136e+04,6.25815e-09
34.72222,0.45000,5.11011e+07,2.01136e+04,6.24246e-09
34.72222,0.45500,5.11014e+07,2.01136e+04,6.23079e-09
34.72222,0.46000,5.11017e+07,2.01136e+04,6.21820e-09
34.72222,0.46500,5.11020e+07,2.01136e+04,6.20948e-09
34.72222,0.47000,5.11022e+07,2.01136e+04,6.19982e-09
34.72222,0.47500,5.11023e+07,2.01136e+04,6.19389e-09
34.72222,0.48000,5.11025e+07,2.01136e+04,6.18701e-09
34.72222,0.48500,5.11026e+07,2.01136e+04,6.18374e-09
34.72222,0.49000,5.11027e+07,2.01136e+04,6.17951e-09
34.72222,0.49500,5.11027e+07,2.01136e+04,6.17878e-09
34.72222,0.50000,5.11028e+07,2.01136e+04,6.17708e-09
